
AR PLASMA WITH DIFFUSION AND EXTERNAL CIRCUIT

pression, Pa           = 1.00E+02
gap length, cm         = 4.00E-01
channel radius, cm     = 4.00E-01
voltage, V             = 1.00E+03
resistance, Ohm        = 1.00E+05
gas temperature, K     = 3.00E+02
electrin density, cm-3 = 1.00E+06
end time, s            = 1.00E-03
PRESS ENTER TO CONTINUE ...
ZDPlasKin (version 2.0a) INIT:
  species        ... 8
  reactions      ... 13
  BOLSIG+ loader ... bolsigdb.dat : 2 species & 5 collisions
  species  link  ... 2
  process  link  ... 4
ZDPlasKin INFO: reset data and configuration
ZDPlasKin INFO: set accuracy 1.00D-10 (absolute) & 1.00D-05 (relative)
ZDPlasKin INIT DONE

        Time_s       dtime_s         EN_Td     Elec_cm-3
  3.060767E-06  2.528958E-10  7.893895E+00  1.348131E+11
  3.085949E-06  2.535837E-10  7.819392E+00  1.363383E+11
  3.111076E-06  2.512907E-10  7.743389E+00  1.378641E+11
  3.136154E-06  2.494268E-10  7.671592E+00  1.393906E+11
  3.161192E-06  2.500375E-10  7.598487E+00  1.409180E+11
  3.186184E-06  2.490184E-10  7.532433E+00  1.424460E+11
  3.211142E-06  2.480848E-10  7.463169E+00  1.439751E+11
  3.236066E-06  2.478990E-10  7.394347E+00  1.455050E+11
  3.260959E-06  2.497152E-10  7.324401E+00  1.470357E+11
  3.285823E-06  2.500454E-10  7.260590E+00  1.485671E+11
  3.310663E-06  2.468854E-10  7.198216E+00  1.500991E+11
  3.335489E-06  2.502929E-10  7.136694E+00  1.516323E+11
  3.360296E-06  2.484855E-10  7.074223E+00  1.531661E+11
  3.385092E-06  2.497935E-10  7.007932E+00  1.547006E+11
  3.409880E-06  2.482191E-10  6.956200E+00  1.562359E+11
  3.434661E-06  2.462331E-10  6.894272E+00  1.577720E+11
  3.459443E-06  2.480005E-10  6.836909E+00  1.593091E+11
  3.484225E-06  2.469787E-10  6.781839E+00  1.608468E+11
  3.509014E-06  2.466250E-10  6.726944E+00  1.623854E+11
  3.533809E-06  2.457951E-10  6.666923E+00  1.639248E+11
  3.558616E-06  2.460894E-10  6.614290E+00  1.654648E+11
  3.583438E-06  2.483933E-10  6.558858E+00  1.670058E+11
  3.608279E-06  2.460632E-10  6.508859E+00  1.685475E+11
  3.633138E-06  2.488026E-10  6.457306E+00  1.700899E+11
  3.658021E-06  2.494632E-10  6.408540E+00  1.716331E+11
  3.682929E-06  2.511080E-10  6.355829E+00  1.731769E+11
  3.707865E-06  2.512244E-10  6.307655E+00  1.747214E+11
  3.732830E-06  2.489881E-10  6.261368E+00  1.762664E+11
  3.757832E-06  2.504486E-10  6.212909E+00  1.778123E+11
