  1.500e+3	 1.360e-21
  2.000e+3	 1.100e-21
  3.000e+3	 8.300e-22
  5.000e+3	 5.800e-22
  7.000e+3	 4.500e-22
  1.000e+4	 3.500e-22
------------------------------------------------------------

IONIZATION
Ar -> Ar^+
  1.580e+1 / threshold energy
COMMENT: RAPP-SCHRAM
UPDATED: 2010-03-02 16:19:07
------------------------------------------------------------
  1.580e+1	  0.000e+0
  1.600e+1	 2.020e-22
  1.700e+1	 1.340e-21
  1.800e+1	 2.940e-21
  2.000e+1	 6.300e-21
  2.200e+1	 9.300e-21
  2.375e+1	 1.150e-20
  2.500e+1	 1.300e-20
  2.650e+1	 1.450e-20
  3.000e+1	 1.800e-20
  3.250e+1	 1.990e-20
  3.500e+1	 2.170e-20
  3.750e+1	 2.310e-20
  4.000e+1	 2.390e-20
  5.000e+1	 2.530e-20
  5.500e+1	 2.600e-20
  1.000e+2	 2.850e-20
  1.500e+2	 2.520e-20
  2.000e+2	 2.390e-20
  3.000e+2	 2.000e-20
  5.000e+2	 1.450e-20
  7.000e+2	 1.150e-20
  1.000e+3	 8.600e-21
  1.500e+3	 6.400e-21
  2.000e+3	 5.200e-21
  3.000e+3	 3.600e-21
  5.000e+3	 2.400e-21
  7.000e+3	 1.800e-21
  1.000e+4	 1.350e-21
------------------------------------------------------------

+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+
+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+
+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+-+
