# e, electric_fld, photo, N2_plus, O, O2_min, O2_plus, O_min
0.000000000000000000e+00,1.000000000000000000e+09,1.659158675642357906e+06,6.368606299162484375e+12,1.000000000000000000e+09,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000311e-10,9.846196185790205002e+08,1.659156077024414903e+06,5.455121370462076250e+14,1.000197859821625948e+09,1.304736462546454929e+07,3.955539839937326033e+06,8.077630674980236217e+05,1.304736462546454929e+07,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000062e-09,9.853389405243675709e+08,1.659156253317127004e+06,2.393913816793200000e+17,1.016381374674404025e+09,2.592879253021667898e+07,7.860772667395934463e+06,1.605253063498652074e+06,2.592879253021667898e+07,0.000000000000000000e+00,0.000000000000000000e+00
1.500000000000000197e-09,3.137277957327153206e+09,1.659186512482753024e+06,1.980092378006568960e+19,3.220889223600093842e+09,4.510055268057580292e+07,1.367286020819397084e+07,2.792216506758046802e+06,4.510055268057580292e+07,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000125e-09,3.035396431851329041e+10,1.659729362353458069e+06,1.385190675014985974e+20,3.135592546687789154e+10,2.144356934821844995e+08,6.496534350529269874e+07,1.328580950518484041e+07,2.144356934821844995e+08,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000052e-09,1.853093839345408936e+11,1.662607704979660921e+06,6.040336865837421691e+20,1.931961650601130981e+11,1.401417400012583017e+09,4.227037790718296766e+08,8.724994993428832293e+07,1.401417400012583017e+09,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000394e-09,6.897823804967841797e+11,1.668043115491417004e+06,1.781548102037861040e+21,7.279127931610373535e+11,6.526327743719922066e+09,1.955594762144028902e+09,4.092502916592965722e+08,6.526327743719922066e+09,0.000000000000000000e+00,0.000000000000000000e+00
3.500000000000000321e-09,1.947166901064396973e+12,1.684473393245256972e+06,3.702310528748140102e+21,2.089339919602753906e+12,2.368072811271175003e+10,6.893430223083612442e+09,1.553751120080198050e+09,2.368072811271175003e+10,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000249e-09,3.987323079191797852e+12,1.710723724909384968e+06,5.536509829493257404e+21,4.388764946263983887e+12,6.600709761175337219e+10,1.831797318179816818e+10,4.671381490353307724e+09,6.600709761175337219e+10,0.000000000000000000e+00,0.000000000000000000e+00
4.500000000000000590e-09,6.769335177080591797e+12,1.746011916888653068e+06,7.823947647945658073e+21,7.676370420635458984e+12,1.492647197946265869e+11,3.892024130526290894e+10,1.152766797194437981e+10,1.492647197946265869e+11,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000105e-09,1.062649384952053906e+13,1.791534075475771911e+06,1.153994765722092097e+22,1.240952646516033008e+13,2.966045053868195190e+11,7.169945924684736633e+10,2.508541263421276855e+10,2.966045053868195190e+11,0.000000000000000000e+00,0.000000000000000000e+00
5.500000000000000446e-09,1.638008541802341992e+13,1.851036866287014913e+06,1.816414306369813034e+22,1.962624536035398047e+13,5.504701989560544434e+11,1.214050165978466949e+11,5.106642706396714783e+10,5.504701989560544434e+11,0.000000000000000000e+00,0.000000000000000000e+00
6.000000000000000787e-09,2.504049250599939062e+13,1.926501065812788904e+06,2.967369299376493874e+22,3.064454917610462891e+13,9.705014731659230957e+11,1.922612392486095886e+11,9.891719008845152283e+10,9.705014731659230957e+11,0.000000000000000000e+00,0.000000000000000000e+00
6.500000000000000301e-09,4.058259079709118750e+13,2.039802073758106912e+06,5.324575529142883608e+22,5.057024667338070312e+13,1.784297577314177979e+12,3.040051971485952759e+11,2.208673749355111084e+11,1.784297577314177979e+12,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000643e-09,6.964628578314089062e+13,2.212038590008113068e+06,1.017604419181733950e+23,8.761158680101948438e+13,3.461559448968610840e+12,4.786990230512504272e+11,5.507738443307255859e+11,3.461559448968610840e+12,0.000000000000000000e+00,0.000000000000000000e+00
7.500000000000000984e-09,1.272948214534720000e+14,2.496471500400121789e+06,2.090122483544849981e+23,1.614949806194253125e+14,7.334808822066910156e+12,7.574440087193293457e+11,1.736137447596537109e+12,7.334808822066910156e+12,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000498e-09,2.497345201399135000e+14,3.006716674006307032e+06,4.758945731326168059e+23,3.196198660982535000e+14,1.714845259007765039e+13,1.184206558340693115e+12,7.252466151228356445e+12,1.714845259007765039e+13,0.000000000000000000e+00,0.000000000000000000e+00
8.500000000000000012e-09,6.677021301221035000e+14,4.177643088607301004e+06,1.889849830838732876e+24,8.457892543363695000e+14,4.943463258254302344e+13,1.876941363380625000e+12,5.686226921983186719e+13,4.943463258254302344e+13,0.000000000000000000e+00,0.000000000000000000e+00
9.000000000000001181e-09,1.095366207982236000e+16,7.938476304054247215e+06,3.615188098846925829e+25,1.348373445292818000e+16,3.335310231203348750e+14,3.949519640998505859e+12,3.051136829985968000e+15,3.335310231203348750e+14,0.000000000000000000e+00,0.000000000000000000e+00
9.500000000000000695e-09,9.070412908701653402e+19,7.770158369951337809e+05,1.140970408169930032e+26,7.065321267251009946e+19,8.584489725564572160e+17,1.362084452936404000e+17,2.105708785077005926e+19,8.584489725564572160e+17,0.000000000000000000e+00,0.000000000000000000e+00
